Reactome,m,proteins
O-glycosylation of TSR domain-containing proteins,39,OFUT2_HUMAN;THS7A_HUMAN;ATS8_HUMAN;ATS5_HUMAN;ATS6_HUMAN;ATS7_HUMAN;ATS1_HUMAN;ATS9_HUMAN;SEM5B_HUMAN;THSD1_HUMAN;SPON1_HUMAN;ATS10_HUMAN;THS7B_HUMAN;SPON2_HUMAN;ATS14_HUMAN;ATS18_HUMAN;ATS19_HUMAN;ATS15_HUMAN;ATS16_HUMAN;ATS17_HUMAN;ATL1_HUMAN;SBSPO_HUMAN;ATL2_HUMAN;ATS13_HUMAN;THSD4_HUMAN;ATL5_HUMAN;B3GLT_HUMAN;ATL4_HUMAN;SEM5A_HUMAN;ATL3_HUMAN;ATS20_HUMAN;ATS12_HUMAN;TSP2_HUMAN;PROP_HUMAN;TSP1_HUMAN;ATS2_HUMAN;ATS4_HUMAN;ATS3_HUMAN;SSPO_HUMAN;
Olfactory Signaling Pathway,430,O51B2_HUMAN;O51B4_HUMAN;OR1A2_HUMAN;O10H1_HUMAN;OR2W1_HUMAN;O52A1_HUMAN;O12D3_HUMAN;OR5V1_HUMAN;O14J1_HUMAN;OR1A1_HUMAN;O5AC2_HUMAN;OR6C2_HUMAN;OR6C3_HUMAN;OR2S1_HUMAN;REEP1_HUMAN;REEP4_HUMAN;O52D1_HUMAN;O51I2_HUMAN;O51I1_HUMAN;O51J1_HUMAN;O51M1_HUMAN;O51B6_HUMAN;O51B5_HUMAN;O51V1_HUMAN;O52A5_HUMAN;O51E2_HUMAN;OR2D2_HUMAN;O10A4_HUMAN;O10A2_HUMAN;O10A5_HUMAN;O2AG1_HUMAN;OR8D2_HUMAN;O11A1_HUMAN;OR2J1_HUMAN;OR2H1_HUMAN;OR2B2_HUMAN;REEP2_HUMAN;RTP3_HUMAN;O52E6_HUMAN;O52B2_HUMAN;OR6C1_HUMAN;OR8B2_HUMAN;OR8B4_HUMAN;OR5MB_HUMAN;OR7D2_HUMAN;OR1F2_HUMAN;OR4K3_HUMAN;OR4F4_HUMAN;OR4CC_HUMAN;O14A2_HUMAN;OR2A5_HUMAN;O2A14_HUMAN;OR2A7_HUMAN;OR2V2_HUMAN;OR2M2_HUMAN;OR2M4_HUMAN;OR5B2_HUMAN;OR5BC_HUMAN;O10C1_HUMAN;REEP6_HUMAN;RTP4_HUMAN;OR1E3_HUMAN;OR5P3_HUMAN;OR5P2_HUMAN;OR8D1_HUMAN;O51E1_HUMAN;OR2T6_HUMAN;O14CZ_HUMAN;O14L1_HUMAN;O14AG_HUMAN;O10J5_HUMAN;OR5K2_HUMAN;OR5K1_HUMAN;OR2V1_HUMAN;OR1FC_HUMAN;OR2W6_HUMAN;O2AE1_HUMAN;OR1L1_HUMAN;OR1L3_HUMAN;OR1S1_HUMAN;O5AK2_HUMAN;O5AK3_HUMAN;OR9G1_HUMAN;OR5R1_HUMAN;OR4A5_HUMAN;O10G6_HUMAN;O10D3_HUMAN;OR6X1_HUMAN;O56B4_HUMAN;O10A6_HUMAN;OR4S2_HUMAN;OR4C6_HUMAN;O4A16_HUMAN;OR5W2_HUMAN;O52I2_HUMAN;O51A7_HUMAN;O51H1_HUMAN;O51F2_HUMAN;O52J3_HUMAN;O51Q1_HUMAN;O52P1_HUMAN;O52N5_HUMAN;O52E5_HUMAN;O56A3_HUMAN;O52N1_HUMAN;OR8K3_HUMAN;OR8K5_HUMAN;OR4X1_HUMAN;OR5B3_HUMAN;OR4L1_HUMAN;OR4KD_HUMAN;OR4KF_HUMAN;OR6S1_HUMAN;OR4C3_HUMAN;OR4F5_HUMAN;O10AG_HUMAN;OR5J2_HUMAN;OR2L2_HUMAN;OR8U1_HUMAN;OR8S1_HUMAN;O10AC_HUMAN;O11H2_HUMAN;OR1P1_HUMAN;OR4Q3_HUMAN;O2T27_HUMAN;OR2T3_HUMAN;O2T29_HUMAN;O2T11_HUMAN;OR2T4_HUMAN;O2T10_HUMAN;OR6F1_HUMAN;OR2G2_HUMAN;OR2G3_HUMAN;O13G1_HUMAN;O14K1_HUMAN;O2AJ1_HUMAN;OR2L8_HUMAN;O10J6_HUMAN;OR6N2_HUMAN;OR6N1_HUMAN;OR6K3_HUMAN;OR6K2_HUMAN;O10Z1_HUMAN;O10X1_HUMAN;OR6P1_HUMAN;OR6Y1_HUMAN;O10R2_HUMAN;O10K1_HUMAN;O10T2_HUMAN;O2T35_HUMAN;O2T34_HUMAN;O11L1_HUMAN;OR6K6_HUMAN;OR6B3_HUMAN;OR5H2_HUMAN;OR5H6_HUMAN;O13D1_HUMAN;OR2Y1_HUMAN;OR2I1_HUMAN;OR9A4_HUMAN;OR9A1_HUMAN;OR2A1_HUMAN;O2A12_HUMAN;OR9A2_HUMAN;O13J1_HUMAN;OR2K2_HUMAN;O13C9_HUMAN;O13C2_HUMAN;O13C5_HUMAN;O13C8_HUMAN;O13C3_HUMAN;O13C4_HUMAN;O13F1_HUMAN;OR1J1_HUMAN;OR1J2_HUMAN;OR1J4_HUMAN;OR1N1_HUMAN;OR1N2_HUMAN;OR1L8_HUMAN;OR1B1_HUMAN;OR1L4_HUMAN;OR5C1_HUMAN;OR1K1_HUMAN;OR1L6_HUMAN;O13A1_HUMAN;OR9I1_HUMAN;OR9Q1_HUMAN;O10Q1_HUMAN;OR1S2_HUMAN;OR6Q1_HUMAN;OR9G4_HUMAN;O5AR1_HUMAN;OR5M1_HUMAN;OR5M8_HUMAN;OR5M3_HUMAN;OR5M9_HUMAN;OR8J1_HUMAN;OR4CD_HUMAN;OR4A4_HUMAN;O10D4_HUMAN;O10G7_HUMAN;O10G8_HUMAN;O10G9_HUMAN;O10G4_HUMAN;O10S1_HUMAN;OR6T1_HUMAN;OR4D5_HUMAN;OR8D4_HUMAN;OR6M1_HUMAN;OR4CF_HUMAN;OR4CG_HUMAN;OR4P4_HUMAN;O4A15_HUMAN;OR5DD_HUMAN;OR5DE_HUMAN;OR5L1_HUMAN;OR5DI_HUMAN;OR5L2_HUMAN;OR5DG_HUMAN;O52I1_HUMAN;O52M1_HUMAN;O52K1_HUMAN;O52K2_HUMAN;O51G1_HUMAN;O51G2_HUMAN;O51T1_HUMAN;O51S1_HUMAN;O51A2_HUMAN;O51A4_HUMAN;O51L1_HUMAN;O52E2_HUMAN;O52E1_HUMAN;O52H1_HUMAN;OR4D6_HUMAN;OR5A1_HUMAN;OR5A2_HUMAN;O5AN1_HUMAN;O10V1_HUMAN;OR4DA_HUMAN;OR4DB_HUMAN;O56B1_HUMAN;O52N4_HUMAN;O56B2_HUMAN;O52N2_HUMAN;O52E4_HUMAN;O56A4_HUMAN;O52L1_HUMAN;O52L2_HUMAN;O56A1_HUMAN;OR2D3_HUMAN;OR8B3_HUMAN;OR8A1_HUMAN;OR8BC_HUMAN;OR8K1_HUMAN;OR8H1_HUMAN;OR5T3_HUMAN;OR5T2_HUMAN;OR8J2_HUMAN;OR8J3_HUMAN;OR4X2_HUMAN;OR4B1_HUMAN;OR5BH_HUMAN;O10W1_HUMAN;O5AP2_HUMAN;O51D1_HUMAN;O52R1_HUMAN;O52B6_HUMAN;OR9Q2_HUMAN;OR4D9_HUMAN;OR9K2_HUMAN;O10A7_HUMAN;O10P1_HUMAN;O2AP1_HUMAN;OR6C4_HUMAN;O10AD_HUMAN;OR4KE_HUMAN;OR4K1_HUMAN;OR4K5_HUMAN;OR4K2_HUMAN;OR4N2_HUMAN;OR4M1_HUMAN;O11H4_HUMAN;O11H7_HUMAN;O11H6_HUMAN;OR4KH_HUMAN;OR6J1_HUMAN;O10G3_HUMAN;O10G2_HUMAN;OR4E2_HUMAN;O11G2_HUMAN;O5AU1_HUMAN;OR4F6_HUMAN;O4F15_HUMAN;OR4M2_HUMAN;OR4S1_HUMAN;OR4C5_HUMAN;O4F17_HUMAN;O10H5_HUMAN;O10H4_HUMAN;OR7A2_HUMAN;OR1M1_HUMAN;OR7G1_HUMAN;OR7G2_HUMAN;OR7D4_HUMAN;OR2Z1_HUMAN;OR7G3_HUMAN;O11H1_HUMAN;O13H1_HUMAN;OR2L3_HUMAN;O2AK2_HUMAN;OR2M3_HUMAN;OR2M7_HUMAN;OR2L5_HUMAN;OR8G5_HUMAN;O2T12_HUMAN;O2T33_HUMAN;OR5T1_HUMAN;OR2C3_HUMAN;OR2LD_HUMAN;OR8H2_HUMAN;OR6V1_HUMAN;OR8H3_HUMAN;O5AS1_HUMAN;OR8I2_HUMAN;OR4N4_HUMAN;OR4N5_HUMAN;OR2W3_HUMAN;REEP3_HUMAN;O7E24_HUMAN;OR6B2_HUMAN;O52E8_HUMAN;O10K2_HUMAN;O4A47_HUMAN;O52W1_HUMAN;OR2A2_HUMAN;OR2T2_HUMAN;OR2T5_HUMAN;OR4F3_HUMAN;OR4CB_HUMAN;OR5MA_HUMAN;OR2G6_HUMAN;RTP2_HUMAN;O10J3_HUMAN;OR2BB_HUMAN;OR7A5_HUMAN;OR8B8_HUMAN;OR1C1_HUMAN;OR8G1_HUMAN;OR4D1_HUMAN;OR1Q1_HUMAN;RTP5_HUMAN;OR2F1_HUMAN;OR5I1_HUMAN;REEP5_HUMAN;GBG1_HUMAN;GBB1_HUMAN;OR2B8_HUMAN;RTP1_HUMAN;O12D2_HUMAN;O10A3_HUMAN;OR4D2_HUMAN;OR2B6_HUMAN;OR1D5_HUMAN;OR3A2_HUMAN;OR1G1_HUMAN;OR3A3_HUMAN;OR1E2_HUMAN;OR1D4_HUMAN;OR3A4_HUMAN;OR3A1_HUMAN;GNAL_HUMAN;OR1D2_HUMAN;O10J1_HUMAN;OR1E1_HUMAN;O56A5_HUMAN;OR2T7_HUMAN;OR9G9_HUMAN;OR8U9_HUMAN;OR8U8_HUMAN;O52Z1_HUMAN;OR4E1_HUMAN;O10J4_HUMAN;O5AC1_HUMAN;OR5G3_HUMAN;OR4Q2_HUMAN;O5AL1_HUMAN;OR4A8_HUMAN;OR2H2_HUMAN;OR2C1_HUMAN;OR6A2_HUMAN;OR5F1_HUMAN;OR2A4_HUMAN;O4F21_HUMAN;OR6B1_HUMAN;OR2F2_HUMAN;OR7AA_HUMAN;OR7C1_HUMAN;OR2J2_HUMAN;OR2J3_HUMAN;OR2B3_HUMAN;OR1I1_HUMAN;OR7C2_HUMAN;O10H3_HUMAN;O10H2_HUMAN;OR2T1_HUMAN;OR1F1_HUMAN;OR7AH_HUMAN;O2AT4_HUMAN;O4C45_HUMAN;O52A4_HUMAN;OR5K4_HUMAN;O6C76_HUMAN;O2AG2_HUMAN;OR5BL_HUMAN;O6C75_HUMAN;OR5H1_HUMAN;O6C65_HUMAN;O6C70_HUMAN;O5H14_HUMAN;O4C46_HUMAN;OR2T8_HUMAN;O51F1_HUMAN;OR2W5_HUMAN;OR6C6_HUMAN;OR5K3_HUMAN;O6C68_HUMAN;O5H15_HUMAN;O14I1_HUMAN;O6C74_HUMAN;O2A25_HUMAN;
Oligomerization of connexins into connexons,3,CXB2_HUMAN;CXA1_HUMAN;CXB1_HUMAN;
O-linked glycosylation,9,POMT1_HUMAN;POMT2_HUMAN;SG196_HUMAN;PMGT1_HUMAN;B3GL2_HUMAN;PMGT2_HUMAN;LARG2_HUMAN;DAG1_HUMAN;LARGE_HUMAN;
O-linked glycosylation of mucins,57,B3GN3_HUMAN;A4GCT_HUMAN;MUC12_HUMAN;B4GT6_HUMAN;GCNT4_HUMAN;B3GN2_HUMAN;GALT8_HUMAN;C1GLT_HUMAN;GALT9_HUMAN;MUC5B_HUMAN;MUC13_HUMAN;MUC3B_HUMAN;B3GN4_HUMAN;B3GN5_HUMAN;MUC4_HUMAN;GLT14_HUMAN;C1GLC_HUMAN;MUCL1_HUMAN;MUC16_HUMAN;MUC7_HUMAN;B3GN7_HUMAN;GLT11_HUMAN;GALT6_HUMAN;CHST4_HUMAN;GALT4_HUMAN;GLT16_HUMAN;GLT15_HUMAN;MUC15_HUMAN;MUC20_HUMAN;GLT12_HUMAN;GLT13_HUMAN;GLT10_HUMAN;GALT7_HUMAN;GALT5_HUMAN;B3GN8_HUMAN;MUC19_HUMAN;GLTL5_HUMAN;GCNT7_HUMAN;B3GN6_HUMAN;MUC6_HUMAN;B3GN9_HUMAN;GLT18_HUMAN;GLTL3_HUMAN;MUC17_HUMAN;B3GNL_HUMAN;GCNT6_HUMAN;MUC21_HUMAN;GLTL6_HUMAN;GALT3_HUMAN;GALT1_HUMAN;GALT2_HUMAN;MUC2_HUMAN;GCNT1_HUMAN;MUC3A_HUMAN;MUC5A_HUMAN;MUC1_HUMAN;GCNT3_HUMAN;
Oncogene Induced Senescence,36,TNR6B_HUMAN;AGO1_HUMAN;AGO4_HUMAN;TNR6C_HUMAN;MOV10_HUMAN;AGO3_HUMAN;TNR6A_HUMAN;CD2A2_HUMAN;E2F2_HUMAN;TFDP2_HUMAN;TFDP1_HUMAN;E2F1_HUMAN;MDM2_HUMAN;CDK6_HUMAN;RL40_HUMAN;RS27A_HUMAN;CDN2D_HUMAN;ERF_HUMAN;ERF_HUMAN;CDN2C_HUMAN;CDN2B_HUMAN;CD2A1_HUMAN;ID1_HUMAN;MK01_HUMAN;MK01_HUMAN;MK03_HUMAN;MK03_HUMAN;ETS2_HUMAN;ETS1_HUMAN;CDK4_HUMAN;UBC_HUMAN;UBB_HUMAN;SP1_HUMAN;RB_HUMAN;P53_HUMAN;MDM4_HUMAN;
Opioid Signalling,2,OPRM_HUMAN;PDYN_HUMAN;
Opsins,8,OPN4_HUMAN;OPN3_HUMAN;OPN5_HUMAN;RGR_HUMAN;OPSD_HUMAN;OPSG_HUMAN;OPSR_HUMAN;OPSB_HUMAN;
Orc1 removal from chromatin,70,ORC6_HUMAN;PSD13_HUMAN;PSME2_HUMAN;MCM8_HUMAN;ORC3_HUMAN;CDT1_HUMAN;CDC6_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;PSMF1_HUMAN;PSA7L_HUMAN;PSMD5_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;MCM6_HUMAN;CUL1_HUMAN;ORC2_HUMAN;ORC1_HUMAN;SKP2_HUMAN;PSMD2_HUMAN;PSME1_HUMAN;CCNA1_HUMAN;SKP1_HUMAN;RL40_HUMAN;RS27A_HUMAN;RBX1_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;PSA6_HUMAN;DSS1_HUMAN;PSMD4_HUMAN;PSMD7_HUMAN;MCM2_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;PSB10_HUMAN;PRS7_HUMAN;MCM7_HUMAN;MCM5_HUMAN;MCM4_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;MCM3_HUMAN;CDK2_HUMAN;PSB1_HUMAN;CCNA2_HUMAN;PRS6A_HUMAN;UBC_HUMAN;UBB_HUMAN;PSD10_HUMAN;ORC4_HUMAN;ORC5_HUMAN;PSMD3_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;
Orexin and neuropeptides FF and QRFP bind to their respective receptors,7,NPFF2_HUMAN;NPFF1_HUMAN;QRFPR_HUMAN;OX26_HUMAN;OX2R_HUMAN;OX1R_HUMAN;OREX_HUMAN;
Organic anion transport,4,S22A7_HUMAN;S22AB_HUMAN;S22AC_HUMAN;S22A8_HUMAN;
Organic anion transporters,9,DIC_HUMAN;VGLU2_HUMAN;VGLU1_HUMAN;S17A5_HUMAN;GHC1_HUMAN;GHC2_HUMAN;SC5A5_HUMAN;VGLU3_HUMAN;SC5A8_HUMAN;
Organic cation transport,9,S22A4_HUMAN;S22AI_HUMAN;RSCA1_HUMAN;S22AF_HUMAN;S22AG_HUMAN;RUNX1_HUMAN;S22A5_HUMAN;S22A3_HUMAN;S22A1_HUMAN;
Other interleukin signaling,25,CSF3R_HUMAN;INLR1_HUMAN;IFNL1_HUMAN;IL34_HUMAN;STX1A_HUMAN;STXB2_HUMAN;IL16_HUMAN;STX3_HUMAN;STX4_HUMAN;I10R2_HUMAN;VAMP2_HUMAN;SNP25_HUMAN;FLT3L_HUMAN;CASP3_HUMAN;TXLNA_HUMAN;FLT3_HUMAN;TYK2_HUMAN;PRTN3_HUMAN;IL32_HUMAN;PTPRZ_HUMAN;JAK1_HUMAN;SDC1_HUMAN;CSF3_HUMAN;CSF1_HUMAN;CSF1R_HUMAN;
Other semaphorin interactions,19,PLXD1_HUMAN;PLXB3_HUMAN;PLXA1_HUMAN;TREM2_HUMAN;PLXA4_HUMAN;SEM4A_HUMAN;SEM6A_HUMAN;SEM4D_HUMAN;SEM6D_HUMAN;SEM5A_HUMAN;ITA1_HUMAN;CD72_HUMAN;PTPRC_HUMAN;ITB1_HUMAN;SEM7A_HUMAN;SEM7A_HUMAN;PLXA2_HUMAN;PLXC1_HUMAN;TYOBP_HUMAN;
Ovarian tumor domain proteases,37,NEMO_HUMAN;TRAF6_HUMAN;NOD1_HUMAN;ZRAN1_HUMAN;NOD2_HUMAN;IFIH1_HUMAN;TNIP3_HUMAN;VCIP1_HUMAN;OTUD5_HUMAN;OTUB1_HUMAN;OTUB2_HUMAN;RN128_HUMAN;OTU7A_HUMAN;TNIP2_HUMAN;RN135_HUMAN;MAVS_HUMAN;OTU7B_HUMAN;OTU1_HUMAN;OTUD3_HUMAN;TNIP1_HUMAN;TRI25_HUMAN;RIPK1_HUMAN;TRAF3_HUMAN;RL40_HUMAN;RS27A_HUMAN;RHOA_HUMAN;PTEN_HUMAN;TERA_HUMAN;UB2D1_HUMAN;APC_HUMAN;TNAP3_HUMAN;UBC_HUMAN;UBB_HUMAN;CDK1_HUMAN;P53_HUMAN;ESR1_HUMAN;DDX58_HUMAN;
Oxidative Stress Induced Senescence,95,TNR6B_HUMAN;AGO1_HUMAN;TNIK_HUMAN;AGO4_HUMAN;TNR6C_HUMAN;MOV10_HUMAN;CBX8_HUMAN;AGO3_HUMAN;H2AJ_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;M3K5_HUMAN;M3K5_HUMAN;RING2_HUMAN;SCMH1_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;PHC3_HUMAN;TNR6A_HUMAN;CD2A2_HUMAN;MINK1_HUMAN;H2B3B_HUMAN;PHC2_HUMAN;MAPK5_HUMAN;H2AV_HUMAN;H32_HUMAN;H2A2A_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;MAPK3_HUMAN;RBBP7_HUMAN;MK14_HUMAN;EZH2_HUMAN;MK11_HUMAN;SUZ12_HUMAN;CBX2_HUMAN;E2F2_HUMAN;TFDP2_HUMAN;TFDP1_HUMAN;RBBP4_HUMAN;RING1_HUMAN;E2F1_HUMAN;MDM2_HUMAN;CDK6_HUMAN;H33_HUMAN;PHC1_HUMAN;H31_HUMAN;RL40_HUMAN;RS27A_HUMAN;H2B1C_HUMAN;H4_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;CDN2D_HUMAN;MK10_HUMAN;MP2K6_HUMAN;MAPK2_HUMAN;MP2K3_HUMAN;MP2K4_HUMAN;MP2K4_HUMAN;MK09_HUMAN;MK08_HUMAN;CDN2C_HUMAN;CDN2B_HUMAN;CD2A1_HUMAN;BMI1_HUMAN;H2B1B_HUMAN;MK01_HUMAN;MK03_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;H2AX_HUMAN;CDK4_HUMAN;THIO_HUMAN;UBC_HUMAN;UBB_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;H2B1J_HUMAN;JUN_HUMAN;H2A1B_HUMAN;P53_HUMAN;IFNB_HUMAN;FOS_HUMAN;M4K4_HUMAN;CBX6_HUMAN;EED_HUMAN;H2B1K_HUMAN;MDM4_HUMAN;KDM6B_HUMAN;MP2K7_HUMAN;E2F3_HUMAN;
Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha,2,HIF1N_HUMAN;EPAS1_HUMAN;
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,77,HIF3A_HUMAN;PSD13_HUMAN;PSME2_HUMAN;LIMD1_HUMAN;LIMD1_HUMAN;EGLN3_HUMAN;EGLN3_HUMAN;EGLN1_HUMAN;EGLN1_HUMAN;EPAS1_HUMAN;EPAS1_HUMAN;PSMD1_HUMAN;PSB7_HUMAN;EGLN2_HUMAN;EGLN2_HUMAN;AJUBA_HUMAN;AJUBA_HUMAN;PSMF1_HUMAN;PSA7L_HUMAN;HIF1A_HUMAN;PSMD5_HUMAN;ELOB_HUMAN;ELOB_HUMAN;ELOC_HUMAN;ELOC_HUMAN;PSMD6_HUMAN;PSME4_HUMAN;CUL2_HUMAN;CUL2_HUMAN;PSMD2_HUMAN;PSME1_HUMAN;RL40_HUMAN;RS27A_HUMAN;RBX1_HUMAN;RBX1_HUMAN;UB2D2_HUMAN;PRS10_HUMAN;PRS8_HUMAN;PRS4_HUMAN;PSME3_HUMAN;UB2D3_HUMAN;PSA6_HUMAN;DSS1_HUMAN;PSMD4_HUMAN;UB2D1_HUMAN;PSMD7_HUMAN;PSB2_HUMAN;PSB3_HUMAN;PSMD8_HUMAN;PRS6B_HUMAN;VHL_HUMAN;VHL_HUMAN;PSB10_HUMAN;PRS7_HUMAN;PSB5_HUMAN;PSB6_HUMAN;PSB4_HUMAN;PSA5_HUMAN;PSB9_HUMAN;PSB8_HUMAN;PSA4_HUMAN;PSA3_HUMAN;PSA2_HUMAN;PSA1_HUMAN;PSB1_HUMAN;PRS6A_HUMAN;UBC_HUMAN;UBB_HUMAN;PSD10_HUMAN;PSMD3_HUMAN;PSA7_HUMAN;PSDE_HUMAN;PSMD9_HUMAN;PSD12_HUMAN;PSD11_HUMAN;WTIP_HUMAN;WTIP_HUMAN;
p130Cas linkage to MAPK signaling for integrins,14,TLN1_HUMAN;AB1IP_HUMAN;FAK1_HUMAN;RAP1A_HUMAN;RAP1B_HUMAN;BCAR1_HUMAN;CRK_HUMAN;SRC_HUMAN;ITA2B_HUMAN;ITB3_HUMAN;VWF_HUMAN;FINC_HUMAN;FIBG_HUMAN;FIBB_HUMAN;
P2Y receptors,11,P2Y12_HUMAN;P2Y13_HUMAN;LPAR4_HUMAN;P2Y11_HUMAN;P2Y14_HUMAN;P2RY6_HUMAN;GPR17_HUMAN;P2RY4_HUMAN;P2RY1_HUMAN;LPAR6_HUMAN;P2RY2_HUMAN;
p38MAPK events,17,MAPK3_HUMAN;MK14_HUMAN;MK14_HUMAN;MK11_HUMAN;MK11_HUMAN;GNDS_HUMAN;GNDS_HUMAN;MK12_HUMAN;MAPK2_HUMAN;RALB_HUMAN;RALA_HUMAN;RASK_HUMAN;RASK_HUMAN;RASH_HUMAN;RASH_HUMAN;RASN_HUMAN;RASN_HUMAN;
p53-Dependent G1 DNA Damage Response,6,CCNA1_HUMAN;CDN1B_HUMAN;CDN1A_HUMAN;CDK2_HUMAN;CCNE1_HUMAN;CCNA2_HUMAN;
p75NTR negatively regulates cell cycle via SC1,5,PRDM4_HUMAN;HDAC2_HUMAN;HDAC1_HUMAN;TNR16_HUMAN;NGF_HUMAN;
p75NTR recruits signalling complexes,16,TRAF6_HUMAN;MYD88_HUMAN;MYD88_HUMAN;SQSTM_HUMAN;RL40_HUMAN;RS27A_HUMAN;IRAK1_HUMAN;IRAK1_HUMAN;KPCI_HUMAN;UBC_HUMAN;UBB_HUMAN;TNR16_HUMAN;TNR16_HUMAN;NGF_HUMAN;NGF_HUMAN;RIPK2_HUMAN;
Packaging Of Telomere Ends,32,TE2IP_HUMAN;POTE1_HUMAN;H2AJ_HUMAN;TINF2_HUMAN;H2B1L_HUMAN;H2B1M_HUMAN;H2A1J_HUMAN;H2B1N_HUMAN;ACD_HUMAN;H2B1A_HUMAN;H2B1H_HUMAN;H2A1C_HUMAN;H2B3B_HUMAN;H2AV_HUMAN;H2A2A_HUMAN;H2B2E_HUMAN;H2A2C_HUMAN;H31T_HUMAN;TERF2_HUMAN;H2B1C_HUMAN;H4_HUMAN;H2B1D_HUMAN;H2BFS_HUMAN;TERF1_HUMAN;H2B1B_HUMAN;H2B1O_HUMAN;H2A1D_HUMAN;H2AX_HUMAN;H2AB1_HUMAN;H2AZ_HUMAN;H2B1J_HUMAN;H2A1B_HUMAN;
PAOs oxidise polyamines to amines,1,SMOX_HUMAN;
Paradoxical activation of RAF signaling by kinase inactive BRAF,39,TLN1_HUMAN;CNKR1_HUMAN;CNKR2_HUMAN;KSR1_HUMAN;AB1IP_HUMAN;BRAP_HUMAN;KSR2_HUMAN;M3K11_HUMAN;MP2K1_HUMAN;ACTG_HUMAN;RAP1A_HUMAN;RAP1B_HUMAN;ACTB_HUMAN;ARRB1_HUMAN;IQGA1_HUMAN;CSK_HUMAN;MP2K2_HUMAN;PHB_HUMAN;ARRB2_HUMAN;1433B_HUMAN;PEBP1_HUMAN;MK01_HUMAN;MARK3_HUMAN;MK03_HUMAN;VINC_HUMAN;BRAF_HUMAN;SRC_HUMAN;ARAF_HUMAN;ITA2B_HUMAN;ITB3_HUMAN;VWF_HUMAN;RAF1_HUMAN;FINC_HUMAN;FIBG_HUMAN;FIBB_HUMAN;FIBA_HUMAN;RASK_HUMAN;RASH_HUMAN;RASN_HUMAN;
Passive transport by Aquaporins,12,AQP10_HUMAN;AQP3_HUMAN;AQP11_HUMAN;AQ12A_HUMAN;AQP6_HUMAN;AQP4_HUMAN;AQP5_HUMAN;AQP2_HUMAN;MIP_HUMAN;AQP1_HUMAN;AQP8_HUMAN;AQP9_HUMAN;
Pausing and recovery of HIV elongation,35,SP16H_HUMAN;CTDP1_HUMAN;NELFA_HUMAN;NELFB_HUMAN;ELOA3_HUMAN;ELOA2_HUMAN;NELFD_HUMAN;EA3L1_HUMAN;ELOB_HUMAN;ELOC_HUMAN;ELOA1_HUMAN;SSRP1_HUMAN;SPT4H_HUMAN;RPAB5_HUMAN;RPB7_HUMAN;RPAB2_HUMAN;ELL_HUMAN;RPAB4_HUMAN;RPB11_HUMAN;RPAB3_HUMAN;CDK9_HUMAN;RPB9_HUMAN;T2FA_HUMAN;RPB2_HUMAN;RPB1_HUMAN;TCEA1_HUMAN;RPAB1_HUMAN;RPB3_HUMAN;NELFE_HUMAN;T2FB_HUMAN;CCNK_HUMAN;CCNT2_HUMAN;CCNT1_HUMAN;RPB4_HUMAN;SPT5H_HUMAN;
Pausing and recovery of Tat-mediated HIV elongation,33,SP16H_HUMAN;CTDP1_HUMAN;NELFA_HUMAN;NELFB_HUMAN;ELOA3_HUMAN;ELOA2_HUMAN;NELFD_HUMAN;EA3L1_HUMAN;ELOB_HUMAN;ELOC_HUMAN;ELOA1_HUMAN;SSRP1_HUMAN;SPT4H_HUMAN;RPAB5_HUMAN;RPB7_HUMAN;RPAB2_HUMAN;ELL_HUMAN;RPAB4_HUMAN;RPB11_HUMAN;RPAB3_HUMAN;CDK9_HUMAN;RPB9_HUMAN;T2FA_HUMAN;RPB2_HUMAN;RPB1_HUMAN;TCEA1_HUMAN;RPAB1_HUMAN;RPB3_HUMAN;NELFE_HUMAN;T2FB_HUMAN;CCNT1_HUMAN;RPB4_HUMAN;SPT5H_HUMAN;
